source_file,simulation_id,scan_point,thickness[µm],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
thickness.iv,2,28,0.5408,0.396782,28.6436611,3.83164551,33.0347316,0.152614017,3.53695795,0.128607873,0.0134656614,0.15154762,0.00106639709,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,29,0.5408,0.417497,28.5006072,3.95469874,33.0347316,0.161368685,3.65125066,0.128612442,0.0134669544,0.16017259,0.0011960955,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,30,0.5408,0.438252,28.3495103,4.08579487,33.0347316,0.171508658,3.77220111,0.128616973,0.013468132,0.170165535,0.00134312306,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,31,0.5408,0.459055,28.1889286,4.22637573,33.0347316,0.183515231,3.90076983,0.128621464,0.013469204,0.182004602,0.00151062815,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,32,0.5408,0.479916,28.0167957,4.3785076,33.0347316,0.198124926,4.03828658,0.128625916,0.0134701803,0.196422031,0.00170289543,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,33,0.5408,0.50085,27.8299967,4.54530581,33.0347316,0.21647478,4.18672963,0.128630329,0.0134710708,0.214548621,0.00192615862,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,34,0.5408,0.521882,27.6235957,4.73170631,33.0347316,0.240329674,4.34927004,0.128634707,0.0134718861,0.238139476,0.00219019815,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,35,0.5408,0.543053,27.3894035,4.94589749,33.0347316,0.27244198,4.53134382,0.128639052,0.0134726377,0.26993044,0.00251154038,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,36,0.5408,0.564434,27.1132861,5.20201332,33.0347316,0.317126143,4.74277047,0.128643373,0.0134733403,0.314206225,0.00291991743,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,37,0.5408,0.58615,26.7700801,5.52521838,33.0347316,0.381177069,5.00191961,0.128647685,0.0134740137,0.377705782,0.00347128718,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
