source_file,simulation_id,scan_point,band gap[eV],electron affinity[eV],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
bandGap+ElectronAffinity.iv,2,13,1.2,4.066,0.07855,32.2900619,2.22507984,34.7682332,0.0824508947,1.98472296,0.128656966,0.0292490177,0.0813099919,0.00114090279,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,14,1.2,4.066,0.098901,32.2198562,2.2752854,34.7682332,0.0859899447,2.03137755,0.128667498,0.0292504067,0.0847618647,0.00122808003,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,15,1.2,4.066,0.119266,32.1468096,2.3283319,34.7682332,0.089851896,2.08055016,0.128678117,0.0292517316,0.0885273896,0.00132450639,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,16,1.2,4.066,0.139647,32.0706387,2.3845027,34.7682332,0.0940791223,2.13248176,0.128688826,0.0292529946,0.0926477244,0.00143139793,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,17,1.2,4.066,0.160045,31.9910157,2.44412552,34.7682332,0.0987213184,2.18745037,0.128699632,0.029254198,0.0971711602,0.00155015816,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,18,1.2,4.066,0.180462,31.9075567,2.50758429,34.7682332,0.103837305,2.2457811,0.12871054,0.0292553444,0.102154894,0.00168241136,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,19,1.2,4.066,0.200901,31.8198041,2.57533673,34.7682332,0.109497566,2.30786117,0.128721558,0.0292564365,0.107667523,0.0018300432,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,20,1.2,4.066,0.221364,31.7271986,2.64794189,34.7682332,0.11578794,2.37416379,0.128732691,0.0292574774,0.11379269,0.00199525046,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,21,1.2,4.066,0.241855,31.6290353,2.72610496,34.7682332,0.122815208,2.44528734,0.128743949,0.0292584706,0.120634605,0.00218060301,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,22,1.2,4.066,0.262378,31.5243868,2.81075309,34.7682332,0.130715757,2.52202257,0.128755337,0.0292594202,0.128326634,0.00238912274,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,23,1.2,4.066,0.28294,31.4119725,2.90316701,34.7682332,0.139669254,2.60547056,0.128766865,0.029260331,0.137044867,0.00262438696,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,24,1.2,4.066,0.30355,31.2899251,3.00521402,34.7682332,0.149920331,2.69725394,0.128778542,0.0292612092,0.147029661,0.00289066974,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
